Round,Max_Score,Avg_Mass,Top_Player_Eats
0,42.1187566092916,40.61494369596138,0
1,41.53311931459029,40.73712118743884,0
2,42.09502592916161,40.90946249625992,0
3,40.886926797229265,40.37299496594596,0
4,41.21892764204893,40.24378552840979,0
5,41.23105625617652,40.550685363391125,0
6,40.914545090957354,40.18290901819147,0
7,40.292822389631176,40.05856447792623,0
8,40.57707115397197,40.17767197909293,0
9,42.34798235987235,40.59411171644081,0
10,40.3112887414927,40.186768970366074,0
11,40.636175135774366,40.189492721336386,0
12,41.23105616133932,40.24621123226787,0
13,40.62019182575973,40.3202662620163,0
14,40.0,40.0,0
15,40.6078810084938,40.183833949722604,0
16,42.9658836522139,40.8992196177009,0
17,41.23105625617652,40.308468999533844,0
18,40.60788100848098,40.367651705895966,0
19,42.07323629511923,40.53916275562093,0
20,41.833001326690095,40.36660026533802,0
